UID,Input to test,Input to Entity Uder Test,Output,Message Under test,Test Name,Description,Entity under test,Requirement,Requirement Source,Profile,Reference OAuch,Reference OpenID Connect Conformance Profiles v3.0,Note,Comments
OP-Entity Configuration response-metadata-value,In this test the OP metadata are taken and the presence of the 'response_modes_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,Trigger In this test the OP metadata are taken and the presence of the 'response_modes_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,"Compliant if the response_modes_supported parameter in the OP metadata ('openid_provider' type) is present, not Compliant otherwise",Entity Configuration response,Does the OP metadata contain the response_modes_supported claim in the openid_provider subclaim,In this test the OP metadata are taken and the presence of the 'response_modes_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,OP,"The OP metadata of type 'openid_provider' must contain the parameter 'response_modes_supported' and it must be set to [form_post, query]",SPID_CIE_OIDC#OP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_op.html,OIDC Core,,,,
OP-Entity Configuration response-metadata-value,In this test the OP metadata are taken and the presence of the 'response_types_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,Trigger In this test the OP metadata are taken and the presence of the 'response_types_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,"Compliant if the response_types_supported parameter in the OP metadata ('openid_provider' type) is present, not Compliant otherwise",Entity Configuration response,Does the OP metadata contain the response_types_supported claim,In this test the OP metadata are taken and the presence of the 'response_types_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,OP,The OP metadata of type 'openid_provider' must contain the parameter 'response_types_supported' and it must be set to 'code',SPID_CIE_OIDC#OP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_op.html,OIDC Core,,Config has response_types_supported,"external tests from spid-oidc-check-op have an implementation issue: in those tests the presence of the claims is directly in the ""Metadata"" parameter of the document. In CIE federation instead, in the metadata paramter there are two subclaims ( ""federation_entity"" and ""openid_relying_party"") and the claims that the tests checks are in the ""openid_relying_party"" subclaim. (For details see coverage.md)",
OP-Entity Configuration response-metadata-value,In this test the OP metadata are taken and the presence of the 'revocation_endpoint' parameter in the 'openid_provider' subclaim (metadata type) is checked. It must be present,Trigger In this test the OP metadata are taken and the presence of the 'revocation_endpoint' parameter in the 'openid_provider' subclaim (metadata type) is checked. It must be present,"Compliant if the revocation_endpoint parameter in the OP metadata ('openid_provider' type) is present, not Compliant otherwise",Entity Configuration response,Does the OP metadata contain the revocation_endpoint parameter,In this test the OP metadata are taken and the presence of the 'revocation_endpoint' parameter in the 'openid_provider' subclaim (metadata type) is checked. It must be present,OP,The OP metadata of type 'openid_provider' must contain the parameter 'revocation_endpoint',SPID_CIE_OIDC#OP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_op.html,OIDC Core,,,"external tests from spid-oidc-check-op have an implementation issue: in those tests the presence of the claims is directly in the ""Metadata"" parameter of the document. In CIE federation instead, in the metadata paramter there are two subclaims ( ""federation_entity"" and ""openid_relying_party"") and the claims that the tests checks are in the ""openid_relying_party"" subclaim. (For details see coverage.md)",
OP-Entity Configuration response-metadata-value,In this test the OP metadata are taken and the presence of the 'revocation_endpoint_auth_methods_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,Trigger In this test the OP metadata are taken and the presence of the 'revocation_endpoint_auth_methods_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,"Compliant if the 'revocation_endpoint_auth_methods_supported' parameter in the OP metadata ('openid_provider' type) is present, not Compliant otherwise",Entity Configuration response,Does the OP metadata contain the revocation_endpoint_auth_methods_supported claim in the openid_provider subclaim,In this test the OP metadata are taken and the presence of the 'revocation_endpoint_auth_methods_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,OP,The OP metadata of type 'openid_provider' must contain the parameter 'revocation_endpoint_auth_methods_supported' and it must be set to 'private_key_jwt',SPID_CIE_OIDC#OP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_op.html,OIDC Core,,,,
OP-Entity Configuration response-metadata-value,In this test the OP metadata are taken and the presence of the 'scopes_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,Trigger In this test the OP metadata are taken and the presence of the 'scopes_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,"Compliant if the scopes_supported parameter in the OP metadata ('openid_provider' type) is present, not Compliant otherwise",Entity Configuration response,Does the OP metadata contain the scopes_supported claim,In this test the OP metadata are taken and the presence of the 'scopes_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,OP,"The OP metadata of type 'openid_provider' must contain the parameter 'scopes_supported' and it must be set to [openid, offline_access, profile, email]",SPID_CIE_OIDC#OP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_op.html,OIDC Core,,,"external tests from spid-oidc-check-op have an implementation issue: in those tests the presence of the claims is directly in the ""Metadata"" parameter of the document. In CIE federation instead, in the metadata paramter there are two subclaims ( ""federation_entity"" and ""openid_relying_party"") and the claims that the tests checks are in the ""openid_relying_party"" subclaim. (For details see coverage.md)",
OP-Entity Configuration response-metadata-value,In this test the OP metadata are taken and the presence of the 'subject_types_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,Trigger In this test the OP metadata are taken and the presence of the 'subject_types_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,"Compliant if the subject_types_supported parameter in the OP metadata ('openid_provider' type) is present, not Compliant otherwise",Entity Configuration response,Does the OP metadata contain the subject_types_supported claim in the openid_provider subclaim,In this test the OP metadata are taken and the presence of the 'subject_types_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,OP,The OP metadata of type 'openid_provider' must contain the parameter 'subject_types_supported' and it must be set to 'pairwise',SPID_CIE_OIDC#OP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_op.html,OIDC Core,,Config has subject_types_supported,"external tests from spid-oidc-check-op have an implementation issue: in those tests the presence of the claims is directly in the ""Metadata"" parameter of the document. In CIE federation instead, in the metadata paramter there are two subclaims ( ""federation_entity"" and ""openid_relying_party"") and the claims that the tests checks are in the ""openid_relying_party"" subclaim. (For details see coverage.md)",
OP-Entity Configuration response-metadata-value,In this test the OP metadata are taken and the presence of the 'token_endpoint' parameter in the 'openid_provider' subclaim (metadata type) is checked. It must be present,Trigger In this test the OP metadata are taken and the presence of the 'token_endpoint' parameter in the 'openid_provider' subclaim (metadata type) is checked. It must be present,"Compliant if the token_endpoint parameter in the OP metadata ('openid_provider' type) is present, not Compliant otherwise",Entity Configuration response,Does the OP metadata contain the token_endpoint parameter,In this test the OP metadata are taken and the presence of the 'token_endpoint' parameter in the 'openid_provider' subclaim (metadata type) is checked. It must be present,OP,The OP metadata of type 'openid_provider' must contain the parameter 'token_endpoint',SPID_CIE_OIDC#OP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_op.html,OIDC Core,,Config has token_endpoint,"external tests from spid-oidc-check-op have an implementation issue: in those tests the presence of the claims is directly in the ""Metadata"" parameter of the document. In CIE federation instead, in the metadata paramter there are two subclaims ( ""federation_entity"" and ""openid_relying_party"") and the claims that the tests checks are in the ""openid_relying_party"" subclaim. (For details see coverage.md)",
OP-Entity Configuration response-metadata-value,In this test the OP metadata are taken and the presence of the 'userinfo_encryption_alg_values_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,Trigger In this test the OP metadata are taken and the presence of the 'userinfo_encryption_alg_values_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,"Compliant if the 'userinfo_encryption_alg_values_supported' parameter in the OP metadata ('openid_provider' type) is present, not Compliant otherwise",Entity Configuration response,Does the OP metadata contain the userinfo_encryption_alg_values_supported claim in the openid_provider subclaim,In this test the OP metadata are taken and the presence of the 'userinfo_encryption_alg_values_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,OP,The OP metadata of type 'openid_provider' must contain the parameter 'userinfo_encryption_alg_values_supported' and it must contain the key encryption algorithms,SPID_CIE_OIDC#OP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_op.html,OIDC Core,,,"external tests from spid-oidc-check-op have an implementation issue: in those tests the presence of the claims is directly in the ""Metadata"" parameter of the document. In CIE federation instead, in the metadata paramter there are two subclaims ( ""federation_entity"" and ""openid_relying_party"") and the claims that the tests checks are in the ""openid_relying_party"" subclaim. (For details see coverage.md)",
OP-Entity Configuration response-metadata-value,In this test the OP metadata are taken and the presence of the 'userinfo_encryption_enc_values_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,Trigger In this test the OP metadata are taken and the presence of the 'userinfo_encryption_enc_values_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,"Compliant if the 'userinfo_encryption_enc_values_supported' parameter in the OP metadata ('openid_provider' type) is present, not Compliant otherwise",Entity Configuration response,Does the OP metadata contain the userinfo_encryption_enc_values_supported claim in the openid_provider subclaim,In this test the OP metadata are taken and the presence of the 'userinfo_encryption_enc_values_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,OP,The OP metadata of type 'openid_provider' must contain the parameter 'userinfo_encryption_enc_values_supported' and it must contain the content encryption algorithms,SPID_CIE_OIDC#OP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_op.html,OIDC Core,,,"external tests from spid-oidc-check-op have an implementation issue: in those tests the presence of the claims is directly in the ""Metadata"" parameter of the document. In CIE federation instead, in the metadata paramter there are two subclaims ( ""federation_entity"" and ""openid_relying_party"") and the claims that the tests checks are in the ""openid_relying_party"" subclaim. (For details see coverage.md)",
OP-Entity Configuration response-metadata-value,In this test the OP metadata are taken and the presence of the 'userinfo_endpoint' parameter in the 'openid_provider' subclaim (metadata type) is checked. It must be present,Trigger In this test the OP metadata are taken and the presence of the 'userinfo_endpoint' parameter in the 'openid_provider' subclaim (metadata type) is checked. It must be present,"Compliant if the userinfo_endpoint parameter in the OP metadata ('openid_provider' type) is present, not Compliant otherwise",Entity Configuration response,Does the OP metadata contain the userinfo_endpoint parameter,In this test the OP metadata are taken and the presence of the 'userinfo_endpoint' parameter in the 'openid_provider' subclaim (metadata type) is checked. It must be present,OP,The OP metadata of type 'openid_provider' must contain the parameter 'userinfo_endpoint',SPID_CIE_OIDC#OP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_op.html,OIDC Core,,Config has userinfo_endpoint,"external tests from spid-oidc-check-op have an implementation issue: in those tests the presence of the claims is directly in the ""Metadata"" parameter of the document. In CIE federation instead, in the metadata paramter there are two subclaims ( ""federation_entity"" and ""openid_relying_party"") and the claims that the tests checks are in the ""openid_relying_party"" subclaim. (For details see coverage.md)",
OP-Entity Configuration response-metadata-value,In this test the OP metadata are taken and the presence of the 'userinfo_signing_alg_values_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,Trigger In this test the OP metadata are taken and the presence of the 'userinfo_signing_alg_values_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,Compliant if the 'userinfo_signing_alg_values_supported' parameter in the OP metadata ('openid_provider' type) is present. Not Compliant otherwise,Entity Configuration response,Does the OP metadata contain the userinfo_signing_alg_values_supported claim in the openid_provider subclaim,In this test the OP metadata are taken and the presence of the 'userinfo_signing_alg_values_supported' parameter in the 'openid_provider' subclaim (metadata type) is checked.,OP,The OP metadata of type 'openid_provider' must contain the parameter 'userinfo_signing_alg_values_supported' and it must contain the signature algorithms,SPID_CIE_OIDC#OP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_op.html,OIDC Core,,,"external tests from spid-oidc-check-op have an implementation issue: in those tests the presence of the claims is directly in the ""Metadata"" parameter of the document. In CIE federation instead, in the metadata paramter there are two subclaims ( ""federation_entity"" and ""openid_relying_party"") and the claims that the tests checks are in the ""openid_relying_party"" subclaim. (For details see coverage.md)",
RP-Entity Configuration response-metadata-value,In this test the RP metadata are taken and the presence of the 'client_id' parameter is checked.,Trigger In this test the RP metadata are taken and the presence of the 'client_id' parameter is checked.,"Compliant if the 'client_id' parameter in the RP metadata ('openid_relying_party' type) is present, not Compliant otherwise",Entity Configuration response,Does the RP metadata contain the 'client_id' parameter,In this test the RP metadata are taken and the presence of the 'client_id' parameter is checked.,RP,The RP metadata of type 'openid_relying_party' must contain the parameter client_id and it must contain an HTTPS URL that uniquely identifies the RP,SPID_CIE_OIDC#RP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_rp.html,OIDC Core,,,,
RP-Entity Configuration response-metadata-value,In this test the RP metadata are taken and the presence of the 'client_registration_types' parameter is checked.,Trigger In this test the RP metadata are taken and the presence of the 'client_registration_types' parameter is checked.,Compliant if the 'client_registration_types' parameter in the RP metadata ('openid_relying_party' type) is present. Not Compliant otherwise,Entity Configuration response,Does the RP metadata contain the 'client_registration_types' parameter,In this test the RP metadata are taken and the presence of the 'client_registration_types' parameter is checked.,RP,The RP metadata of type 'openid_relying_party' must contain the parameter client_registration_types and it has to be set to 'automatic'.,SPID_CIE_OIDC#RP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_rp.html,OIDC Core,,,,
RP-Entity Configuration response-metadata-value,In this test the RP metadata in the RP Entity Configuration are taken and the presence of the contacts claim in the 'federation_entity' entity type is checked.,Trigger In this test the RP metadata in the RP Entity Configuration are taken and the presence of the contacts claim in the 'federation_entity' entity type is checked.,"Compliant if the contacts claim in the RP metadata ('federation_entity' type) is present, not compliant otherwise",Entity Configuration response,Does the RP metadata contain the contacts claim,In this test the RP metadata in the RP Entity Configuration are taken and the presence of the contacts claim in the 'federation_entity' entity type is checked.,RP,The RP Metadata of type 'federation_entity' MUST contain contacts,SPID_CIE_OIDC#RP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_rp.html,OIDC Federation,,,,
RP-Entity Configuration response-metadata-value,In this test the RP metadata in the RP Entity Configuration are taken and the presence of the federation_resolve_endpoint claim in the 'federation_entity' entity type is checked.,Trigger In this test the RP metadata in the RP Entity Configuration are taken and the presence of the federation_resolve_endpoint claim in the 'federation_entity' entity type is checked.,"Compliant if the federation_resolve_endpoint claim in the RP metadata ('federation_entity' type) is present, not compliant otherwise",Entity Configuration response,Does the RP metadata contain the federation_resolve_endpoint claim,In this test the RP metadata in the RP Entity Configuration are taken and the presence of the federation_resolve_endpoint claim in the 'federation_entity' entity type is checked.,RP,The RP Metadata of type 'federation_entity' MUST contain federation_resolve_endpoint,SPID_CIE_OIDC#RP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_rp.html,OIDC Federation,,,,
RP-Entity Configuration response-metadata-value,In this test the RP metadata are taken and the presence of the 'grant_types' parameter is checked,Trigger In this test the RP metadata are taken and the presence of the 'grant_types' parameter is checked,"Compliant if the 'grant_types' parameter in the RP metadata ('openid_relying_party' type) is present, not Compliant otherwise",Entity Configuration response,Does the RP metadata contain the grant_types claim,In this test the RP metadata are taken and the presence of the 'grant_types' parameter is checked,RP,The RP metadata of type 'openid_relying_party' must contain the parameter grant_types and it must be a JSON array containing 'authorization_code' and 'refresh_token',SPID_CIE_OIDC#RP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_rp.html,OIDC Core,,,,
RP-Entity Configuration response-metadata-value,In this test the RP metadata in the RP Entity Configuration are taken and the presence of the homepage_uri claim in the 'federation_entity' entity type is checked.,Trigger In this test the RP metadata in the RP Entity Configuration are taken and the presence of the homepage_uri claim in the 'federation_entity' entity type is checked.,"Compliant if the homepage_uri claim in the RP metadata ('federation_entity' type) is present, not compliant otherwise",Entity Configuration response,Does the RP metadata contain the homepage_uri claim,In this test the RP metadata in the RP Entity Configuration are taken and the presence of the homepage_uri claim in the 'federation_entity' entity type is checked.,RP,The RP Metadata of type 'federation_entity' MUST contain homepage_uri,SPID_CIE_OIDC#RP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_rp.html,OIDC Federation,,,"external tests from spid-oidc-check-op have an implementation issue: in those tests the presence of the claims is directly in the ""Metadata"" parameter of the document. In CIE federation instead, in the metadata paramter there are two subclaims ( ""federation_entity"" and ""openid_relying_party"") and the claims that the tests checks are in the ""federation_entity"" subclaim. (For details see coverage.md)",
RP-Entity Configuration response-metadata-value,In this test the RP metadata are taken and the presence of the 'id_token_encrypted_response_alg' parameter is checked.,Trigger In this test the RP metadata are taken and the presence of the 'id_token_encrypted_response_alg' parameter is checked.,Compliant if the 'id_token_encrypted_response_alg' parameter in the RP metadata ('openid_relying_party' type) is present. Not Compliant otherwise,Entity Configuration response,Does the RP metadata contain the 'id_token_encrypted_response_alg' parameter,In this test the RP metadata are taken and the presence of the 'id_token_encrypted_response_alg' parameter is checked.,RP,The RP metadata of type 'openid_relying_party' must contain the parameter id_token_encrypted_response_alg and it has to contain the key encryption algorithms,SPID_CIE_OIDC#RP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_rp.html,OIDC Core,,,,
RP-Entity Configuration response-metadata-value,In this test the RP metadata are taken and the presence of the 'id_token_encrypted_response_enc' parameter is checked.,Trigger In this test the RP metadata are taken and the presence of the 'id_token_encrypted_response_enc' parameter is checked.,Compliant if the 'id_token_encrypted_response_enc' parameter in the RP metadata ('openid_relying_party' type) is present. Not Compliant otherwise,Entity Configuration response,Does the RP metadata contain the 'id_token_encrypted_response_enc' parameter,In this test the RP metadata are taken and the presence of the 'id_token_encrypted_response_enc' parameter is checked.,RP,The RP metadata of type 'openid_relying_party' must contain the parameter id_token_encrypted_response_enc and it has to contain the content encryption algorithms. This parameter is required only if the id_token_encrypted_response_alg is given,SPID_CIE_OIDC#RP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_rp.html,OIDC Core,,,This parameter is required only if the id_token_encrypted_response_alg is given,
RP-Entity Configuration response-metadata-value,In this test the RP metadata are taken and the presence of the 'id_token_signed_response_alg' parameter is checked.,Trigger In this test the RP metadata are taken and the presence of the 'id_token_signed_response_alg' parameter is checked.,Compliant if the 'id_token_signed_response_alg' parameter in the RP metadata ('openid_relying_party' type) is present. Not Compliant otherwise,Entity Configuration response,Does the RP metadata contain the 'id_token_signed_response_alg' parameter,In this test the RP metadata are taken and the presence of the 'id_token_signed_response_alg' parameter is checked.,RP,The RP metadata of type 'openid_relying_party' must contain the parameter id_token_signed_response_alg and it has to contain the signature algorithms,SPID_CIE_OIDC#RP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_rp.html,OIDC Core,,,,
RP-Entity Configuration response-metadata-value,"In this test the RP metadata are taken and the presence of the 'jwks' parameter is checked. If it is absent, than the RP is not compliant with the specification","Trigger In this test the RP metadata are taken and the presence of the 'jwks' parameter is checked. If it is absent, than the RP is not compliant with the specification","Compliant if the 'jwks' parameter in the RP metadata ('openid_relying_party' type) is present, not Compliant if is absent",Entity Configuration response,Does the RP metadata contain the 'jwks' parameter,"In this test the RP metadata are taken and the presence of the 'jwks' parameter is checked. If it is absent, than the RP is not compliant with the specification",RP,The RP metadata of type 'openid_relying_party' must contain the parameter jwks,SPID_CIE_OIDC#RP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_rp.html,OIDC Core,,,,
RP-Entity Configuration response-metadata-value,In this test the RP metadata in the RP Entity Configuration are taken and the presence of the logo_uri claim in the 'federation_entity' entity type is checked.,Trigger In this test the RP metadata in the RP Entity Configuration are taken and the presence of the logo_uri claim in the 'federation_entity' entity type is checked.,"Compliant if the logo_uri claim in the RP metadata ('federation_entity' type) is present, not compliant otherwise",Entity Configuration response,Does the RP metadata contain the logo_uri claim,In this test the RP metadata in the RP Entity Configuration are taken and the presence of the logo_uri claim in the 'federation_entity' entity type is checked.,RP,The RP Metadata of type 'federation_entity' MUST contain logo_uri,SPID_CIE_OIDC#RP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_rp.html,OIDC Federation,,,,
RP-Entity Configuration response-metadata-value,In this test the RP metadata in the RP Entity Configuration are taken and the presence of the organization_name claim in the 'federation_entity' entity type is checked.,Trigger In this test the RP metadata in the RP Entity Configuration are taken and the presence of the organization_name claim in the 'federation_entity' entity type is checked.,"Compliant if the organization_name claim in the RP metadata ('federation_entity' type) is present, not compliant otherwise",Entity Configuration response,Does the RP metadata contain the organization_name claim,In this test the RP metadata in the RP Entity Configuration are taken and the presence of the organization_name claim in the 'federation_entity' entity type is checked.,RP,The RP Metadata of type 'federation_entity' MUST contain organization_name,SPID_CIE_OIDC#RP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_rp.html,OIDC Federation,,,"external tests from spid-oidc-check-op have an implementation issue: in those tests the presence of the claims is directly in the ""Metadata"" parameter of the document. In CIE federation instead, in the metadata paramter there are two subclaims ( ""federation_entity"" and ""openid_relying_party"") and the claims that the tests checks are in the ""federation_entity"" subclaim. (For details see coverage.md)",
RP-Entity Configuration response-metadata-value,In this test the RP metadata in the RP Entity Configuration are taken and the presence of the policy_uri claim in the 'federation_entity' entity type is checked.,Trigger In this test the RP metadata in the RP Entity Configuration are taken and the presence of the policy_uri claim in the 'federation_entity' entity type is checked.,"Compliant if the policy_uri claim in the RP metadata ('federation_entity' type) is present, not compliant otherwise",Entity Configuration response,Does the RP metadata contain the policy_uri claim,In this test the RP metadata in the RP Entity Configuration are taken and the presence of the policy_uri claim in the 'federation_entity' entity type is checked.,RP,The RP Metadata of type 'federation_entity' MUST contain policy_uri,SPID_CIE_OIDC#RP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_rp.html,OIDC Federation,,,,
RP-Entity Configuration response-metadata-value,In this test the RP metadata are taken and the presence of the 'token_endpoint_auth_method' parameter is checked.,Trigger In this test the RP metadata are taken and the presence of the 'token_endpoint_auth_method' parameter is checked.,Compliant if the 'token_endpoint_auth_method' parameter in the RP metadata ('openid_relying_party' type) is present. Not Compliant otherwise,Entity Configuration response,Does the RP metadata contain the 'token_endpoint_auth_method' parameter,In this test the RP metadata are taken and the presence of the 'token_endpoint_auth_method' parameter is checked.,RP,The RP metadata of type 'openid_relying_party' must contain the parameter token_endpoint_auth_method and it has to be set to 'private_key_jwt'.,SPID_CIE_OIDC#RP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_rp.html,OIDC Core,,,,
RP-Entity Configuration response-metadata-value,In this test the RP metadata are taken and the presence of the 'userinfo_encrypted_response_alg' parameter is checked.,Trigger In this test the RP metadata are taken and the presence of the 'userinfo_encrypted_response_alg' parameter is checked.,"Compliant if the 'userinfo_encrypted_response_alg' parameter in the RP metadata ('openid_relying_party' type) is present, Not Compliant otherwise",Entity Configuration response,Does the RP metadata contain the 'userinfo_encrypted_response_alg' parameter,In this test the RP metadata are taken and the presence of the 'userinfo_encrypted_response_alg' parameter is checked.,RP,The RP metadata of type 'openid_relying_party' must contain the parameter userinfo_encrypted_response_alg and it has to contain the key encryption algorithms,SPID_CIE_OIDC#RP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_rp.html,OIDC Core,,,,
RP-Entity Configuration response-metadata-value,In this test the RP metadata are taken and the presence of the 'userinfo_encrypted_response_enc' parameter is checked.,Trigger In this test the RP metadata are taken and the presence of the 'userinfo_encrypted_response_enc' parameter is checked.,Compliant if the 'userinfo_encrypted_response_enc' parameter in the RP metadata ('openid_relying_party' type) is present. Not Compliant otherwise,Entity Configuration response,Does the RP metadata contain the 'userinfo_encrypted_response_enc' parameter,In this test the RP metadata are taken and the presence of the 'userinfo_encrypted_response_enc' parameter is checked.,RP,The RP metadata of type 'openid_relying_party' must contain the parameter userinfo_encrypted_response_enc and it has to contain the content encryption algorithms.,SPID_CIE_OIDC#RP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_rp.html,OIDC Core,,,,
RP-Entity Configuration response-metadata-value,In this test the RP metadata are taken and the presence of the 'userinfo_signed_response_alg' parameter is checked.,Trigger In this test the RP metadata are taken and the presence of the 'userinfo_signed_response_alg' parameter is checked.,Compliant if the 'userinfo_signed_response_alg' parameter in the RP metadata is present. Not Compliant otherwise,Entity Configuration response,Does the RP metadata contain the 'userinfo_signed_response_alg' parameter,In this test the RP metadata are taken and the presence of the 'userinfo_signed_response_alg' parameter is checked.,RP,The RP metadata of type 'openid_relying_party' must contain the parameter userinfo_signed_response_alg and it has to contain the signature algorithms,SPID_CIE_OIDC#RP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_rp.html,OIDC Core,,,,
RP-Entity Configuration response-metadata-value,In this test the RP metadata are taken and the presence of the 'response_types' parameter in the 'openid_relying_party' metadata type is checked,Trigger In this test the RP metadata are taken and the presence of the 'response_types' parameter in the 'openid_relying_party' metadata type is checked,"Compliant if the 'response_types' parameter in the RP metadata ('openid_relying_party' type) is present, not Compliant otherwise",Entity Configuration response,Does the RP metadata contain the 'response_types' parameter,In this test the RP metadata are taken and the presence of the 'response_types' parameter in the 'openid_relying_party' metadata type is checked,RP,The RP metadata of type 'openid_relying_party' must contain the parameter response_types and it has to be a JSON array containing the value 'code',SPID_CIE_OIDC#RP-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_rp.html,OIDC Core,,,,
SA-Entity Configuration response-metadata-value,In this test the SA metadata are taken and the presence of the 'contacts' parameter inside the 'federation_entity' metadata type is checked.,Trigger In this test the SA metadata are taken and the presence of the 'contacts' parameter inside the 'federation_entity' metadata type is checked.,"Compliant if the SA contains the 'federation_entity' type in the metadata and it contains the 'contacts' parameter, not compliant otherwise",Entity Configuration response,Does the SA's metadata contain the contacts parameter,In this test the SA metadata are taken and the presence of the 'contacts' parameter inside the 'federation_entity' metadata type is checked.,SA,The TA and SA metadata must contain the parameter contacts,SPID_CIE_OIDC#TA-and-SA-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_ta_sa.html,OIDC Federation,,,,
SA-Entity Configuration response-metadata-value,In this test the SA metadata are taken and the presence of the 'federation_fetch_endpoint' parameter inside the 'federation_entity' metadata type is checked.,Trigger In this test the SA metadata are taken and the presence of the 'federation_fetch_endpoint' parameter inside the 'federation_entity' metadata type is checked.,"Compliant if the SA contains the 'federation_entity' type in the metadata and it contains the 'federation_fetch_endpoint' parameter, not compliant otherwise",Entity Configuration response,Does the SA's metadata contain the federation_fetch_endpoint parameter,In this test the SA metadata are taken and the presence of the 'federation_fetch_endpoint' parameter inside the 'federation_entity' metadata type is checked.,SA,The TA and SA metadata must contain the parameter federation_fetch_endpoint,SPID_CIE_OIDC#TA-and-SA-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_oidc_ta_sa.html,OIDC Federation,,,,
