V2.3,UID,Old Input tester,Input to test,Input to Entity Under Test,Output,Pattern name,Type,Message Under Test,Test Name,Description,Entity under test,Input for generated MR: message to handle,Input for generated MR: Oracle,Requirement,Requirement Source,Profile,Cases,Related to,Type MIG,Severity,Reasons  for chosen Severity,Reference OAuch,Reference OpenID Connect Conformance Profiles v3.0,Reference spid-cie-oidc-django unit test,Reference Test MIG for CIE Core Web,Reference IPZS Test plan document,Reference spid-oidc-check-op,Note,Has Reference,Checked,Divider,Implementation dependent,Session in spid-oidc-cie-django,"Stato del test [E= Eseguito, N= Non eseguito, ND= Non definito, ToDo= Da Eseguire]",Motivazione,Spid-cie-oidc-django result,"Versione Django Feb,21 2024 - 87467470e7c491e91d0e6bb95ada85ec6f71ca77",Test,Django v2.2
x,ALL-Entity Configuration response-BODY-PAYLOAD-trust_mark-id_code-vat_number-type,Trust Mark generated by TA or SA,Entity Configuration response,Trigger Entity Configuration response,Compliant if the id_code claim of the trust_mark in the trust_marks parameter contains the fiscal_number or vat_number claim,nested JWT parameter type,Correct Input,Entity Configuration response,Does the id_code claim of a Trust Mark issued for private organization contain the fiscal_number or vat_number claim,"In this test, a Trust Mark issued for a private entity must be taken, decrypted and the presence of the fiscal_number or vat_number claim in the id_code is checked",ALL,,"Entity Statement response TA_SA ALL | body | [^\r\n]* | payload | trust_marks[0].trust_mark | payload |  | {""type"": ""object"",""properties"": {""id_code"": {""type"": ""object"",""properties"": {""vat_number"": {""type"":""string""},""fiscal_number"": {}}}},""if"": {""properties"": {""organization_type"": {""const"": ""private""}}},""then"": {""properties"": {""id_code"": {""anyOf"": [{""required"": [""vat_number""]},{""required"": [""fiscal_number""]}]}}}}",The vat_number claim is required in the id_code claim of Trust Marks issued for private Organizations if there is not the fiscal_number claim. The fiscal_number claim is required in the id_code claim of Trust Marks issued for private Organizations if there is not the vat_number claim,SPID_CIE_OIDC#Trust-Mark-composition; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/trust_marks.html#composizione-dei-trust-mark,OIDC Federation,IT,ALL-Entity Configuration response-BODY-PAYLOAD-trust_mark-id_code-vat_number-presence,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,SA non presente,not_applicable,
x,ALL-Entity Configuration response-BODY-PAYLOAD-trust_mark-id_code-fiscal_number-presence,Trust Mark generated by TA or SA,Entity Configuration response,Trigger Entity Configuration response,Compliant if the id_code claim of the trust_mark in the trust_marks parameter contains the fiscal_number or vat_number claim,nested JWT parameter type,Correct Input,Entity Configuration response,Does the id_code claim of a Trust Mark issued for private organization contain the fiscal_number or vat_number claim,"In this test, a Trust Mark issued for a private entity must be taken, decrypted and the presence of the fiscal_number or vat_number claim in the id_code is checked",ALL,,"Entity Statement response TA_SA ALL | body | [^\r\n]* | payload | trust_marks[0].trust_mark | payload |  | {""type"": ""object"",""properties"": {""id_code"": {""type"": ""object"",""properties"": {""vat_number"": {},""fiscal_number"": {}}}},""if"": {""properties"": {""organization_type"": {""const"": ""private""}}},""then"": {""properties"": {""id_code"": {""anyOf"": [{""required"": [""vat_number""]},{""required"": [""fiscal_number""]}]}}}}",The vat_number claim is required in the id_code claim of Trust Marks issued for private Organizations if there is not the fiscal_number claim. The fiscal_number claim is required in the id_code claim of Trust Marks issued for private Organizations if there is not the vat_number claim,SPID_CIE_OIDC#Trust-Mark-composition; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/trust_marks.html#composizione-dei-trust-mark,OIDC Federation,IT,,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,SA non presente,not_applicable,
x,ALL-Entity Configuration response-BODY-PAYLOAD-trust_mark-id_code-fiscal_number-type,Trust Mark generated by TA or SA,Entity Configuration response,Trigger Entity Configuration response,Compliant if the id_code claim of the trust_mark in the trust_marks parameter contains the fiscal_number or vat_number claim,nested JWT parameter type,Correct Input,Entity Configuration response,Does the id_code claim of a Trust Mark issued for private organization contain the fiscal_number or vat_number claim,"In this test, a Trust Mark issued for a private entity must be taken, decrypted and the presence of the fiscal_number or vat_number claim in the id_code is checked",ALL,,"Entity Statement response TA_SA ALL | body | [^\r\n]* | payload | trust_marks[0].trust_mark | payload |  | {""type"": ""object"",""properties"": {""id_code"": {""type"": ""object"",""properties"": {""vat_number"": {},""fiscal_number"": {""type"":""string""}}}},""if"": {""properties"": {""organization_type"": {""const"": ""private""}}},""then"": {""properties"": {""id_code"": {""anyOf"": [{""required"": [""vat_number""]},{""required"": [""fiscal_number""]}]}}}}",The vat_number claim is required in the id_code claim of Trust Marks issued for private Organizations if there is not the fiscal_number claim. The fiscal_number claim is required in the id_code claim of Trust Marks issued for private Organizations if there is not the vat_number claim,SPID_CIE_OIDC#Trust-Mark-composition; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/trust_marks.html#composizione-dei-trust-mark,OIDC Federation,IT,ALL-Entity Configuration response-BODY-PAYLOAD-trust_mark-id_code-fiscal_number-presence,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,SA non presente,not_applicable,
x,ALL-Entity Configuration response-BODY-PAYLOAD-trust_mark-email-presence,Trust Mark generated by TA or SA,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the email claim is present in the trust_mark payload, not compliant otherwise",nested JWT parameter presence,Correct Input,Entity Configuration response,Does the Trust Mark contain the email claim,"In this test, an issued Trust Mark must be taken, decrypted and the presence of the email claim in it is checked.",ALL,,Entity Configuration response | body | [^\r\n]* | payload | trust_marks[0].trust_mark | payload | email,The issued Trust Marks must have the email claim,SPID_CIE_OIDC#Trust-Mark-composition; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/trust_marks.html#composizione-dei-trust-mark,OIDC Federation,IT,ALL-Entity Configuration response-BODY-PAYLOAD-trust_marks-value,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,SA non presente,not_applicable,
,ALL-Entity Configuration response-BODY-PAYLOAD-trust_mark-email-type,Trust Mark generated by TA or SA,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the email claim is of type string, not compliant otherwise",nested JWT parameter type,Correct Input,Entity Configuration response,Does the Trust Mark contain the correct type of email claim,"In this test, an issued Trust Mark must be taken, decrypted and the type of the email claim in it is checked.",ALL,,"Entity Configuration response | body | [^\r\n]* | payload | trust_marks.trust_mark | payload |  | {  ""type "":  ""object "",  ""properties "": {  ""email "": {  ""type "":  ""string ""} },  ""required "": [ ""email ""] } ",The issued Trust Marks must have the email claim as string,SPID_CIE_OIDC#Trust-Mark-composition; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/trust_marks.html#composizione-dei-trust-mark,OIDC Federation,IT,ALL-Entity Configuration response-BODY-PAYLOAD-trust_mark-email-presence,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,SA non presente,not_applicable,
,ALL-Entity Configuration response-BODY-PAYLOAD-trust_mark-email-specific_type,Trust Mark generated by TA or SA,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the email claim is of type string, not compliant otherwise",nested JWT parameter type,Correct Input,Entity Configuration response,Does the Trust Mark contain the correct type of email claim,"In this test, an issued Trust Mark must be taken, decrypted and the type of the email claim in it is checked.",ALL,,"Entity Configuration response | body | [^\r\n]* | payload | trust_marks.trust_mark | payload |  | {  ""type "":  ""object "",  ""properties "": {  ""email "": {  ""type "":  ""string "",  ""format "":  ""email "" } },  ""required "": [ ""email ""] } ",The issued Trust Marks must have the email claim as string,SPID_CIE_OIDC#Trust-Mark-composition; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/trust_marks.html#composizione-dei-trust-mark,OIDC Federation,IT,ALL-Entity Configuration response-BODY-PAYLOAD-trust_mark-email-presence,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,SA non presente,not_applicable,
x,ALL-Entity Configuration response-BODY-PAYLOAD-trust_mark-organization_name-presence,Trust Mark generated by TA or SA,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the organization_name claim is present in the trust_mark payload, not compliant otherwise",nested JWT parameter presence,Correct Input,Entity Configuration response,Does the Trust Mark contain the organization_name claim,"In this test, an issued Trust Mark must be taken, decrypted and the presence of the organization_name claim in it is checked.",ALL,,Entity Configuration response | body | [^\r\n]* | payload | trust_marks[0].trust_mark | payload | organization_name,The issued Trust Marks must have the organization_name claim,SPID_CIE_OIDC#Trust-Mark-composition; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/trust_marks.html#composizione-dei-trust-mark,OIDC Federation,IT,ALL-Entity Configuration response-BODY-PAYLOAD-trust_marks-value,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,SA non presente,not_applicable,
x,ALL-Entity Configuration response-BODY-PAYLOAD-trust_mark-organization_name-type,Trust Mark generated by TA or SA,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the organization_name claim is type string and has value ""public"" or ""private"", not compliant otherwise",nested JWT parameter type,Correct Input,Entity Configuration response,Does the Trust Mark contain the correct type of organization_name claim,"In this test, an issued Trust Mark must be taken, decrypted and the type of the organization_name claim in it is checked.",ALL,,"Entity Configuration response | body | [^\r\n]* | payload | trust_marks.trust_mark | payload |  | { ""type "":  ""object "", ""properties "": { ""organization_name "": { ""type "":  ""string ""}}, ""required "": [ ""organization_name ""]}",The issued Trust Marks must have the organization_name claim,SPID_CIE_OIDC#Trust-Mark-composition; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/trust_marks.html#composizione-dei-trust-mark,OIDC Federation,IT,ALL-Entity Configuration response-BODY-PAYLOAD-trust_mark-organization_name-presence,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,SA non presente,not_applicable,
x,SA-Entity Configuration response-BODY-PAYLOAD-trust_mark-sa_profile-presence,Trust Mark generated for an SA,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the sa_profile claim is present in the trust_mark payload, not compliant otherwise",nested JWT parameter presence,Correct Input,Entity Configuration response,Does the issued intermediary Trust Mark contain the sa_profile claim,"A Trust Mark issued by a TA for an SA is taken, decrypted and the presence of the sa_profile claim is checked.",SA,,Entity Configuration response | body | [^\r\n]* | payload | trust_marks[0].trust_mark | payload | sa_profile,"In addition to the claims of the public and private profiles, the profile intermediary identifies the SA and adds the extensions full and light in the sa_profile claim, according to the ways of operation towards the subordinate Entities.",SPID_CIE_OIDC#federation_entity-Trust-Mark; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/trust_marks.html#federation-entity-trust-mark,OIDC Federation,Conditional IT,,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,SA non presente,not_applicable,
x,SA-Entity Configuration response-BODY-PAYLOAD-trust_mark-sa_profile-type,Trust Mark generated for an SA,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the sa_profile claim is a string, not compliant otherwise",nested JWT parameter type,Correct Input,Entity Configuration response,Does the issued intermediary Trust Mark contain the sa_profile claim,"A Trust Mark issued by a TA for an SA is taken, decrypted and the presence of the sa_profile claim is checked. It must be a String.",SA,,"Entity Configuration response | body | [^\r\n]* | payload | trust_marks[0].trust_mark | payload |  | { ""type "":  ""object "", ""properties "": { ""sa_profile"": { ""type "":  ""string ""}}, ""required "": [ ""sa_profile ""]}","In addition to the claims of the public and private profiles, the profile intermediary identifies the SA and adds the extensions full and light in the sa_profile claim, according to the ways of operation towards the subordinate Entities.",SPID_CIE_OIDC#federation_entity-Trust-Mark; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/trust_marks.html#federation-entity-trust-mark,OIDC Federation,IT,SA-Entity Configuration response-BODY-PAYLOAD-trust_mark-sa_profile-presence,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,SA non presente,not_applicable,
o,SA-Entity Configuration response-BODY-PAYLOAD-trust_mark-sa_profile-value,Trust Mark generated for an SA,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the sa_profile claim is 'full' or 'light', not compliant otherwise",nested JWT parameter type,Correct Input,Entity Configuration response,Does the issued intermediary Trust Mark contain a correct sa_profile claim,"A Trust Mark issued for an SA is taken, decrypted and the value of the sa_profile claim can be 'full' or 'light'",SA,,"Entity Configuration response | body | [^\r\n]* | payload | trust_marks[0].trust_mark | payload |  | { ""type "":  ""object "", ""properties "": { ""sa_profile"": { ""type "":  ""string "", ""enum "": [ ""full "",  ""light ""]}}, ""required "": [ ""sa_profile ""]}","In addition to the claims of the public and private profiles, the profile intermediary identifies the SA and adds the extensions full and light in the sa_profile claim, according to the ways of operation towards the subordinate Entities.",SPID_CIE_OIDC#federation_entity-Trust-Mark; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/trust_marks.html#federation-entity-trust-mark,OIDC Federation,IT,SA-Entity Configuration response-BODY-PAYLOAD-trust_mark-sa_profile-presence,Passive,M,Mismatch of content,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,SA non presente,not_applicable,
x,AA-Entity Configuration response-BODY-PAYLOAD-trust_mark-policy_uri-presence,Trust Mark generated for an AA,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the policy_uri claim is present in the trust_mark payload, not compliant otherwise",nested JWT parameter presence,Correct Input,Entity Configuration response,Does the issued oauth_resource Trust Mark contain the policy_uri claim,"In this test, a Trust Mark issued for an AA (oauth_resource profile) must be taken, decrypted and the presence of the policy_uri claim in it is checked",AA,,Entity Configuration response | body | [^\r\n]* | payload | trust_marks[0].trust_mark | payload | policy_uri,"In addition to the claims of the public and private profiles, the profile oauth_resource identifies the AA and adds the policy_uri claim:",SPID_CIE_OIDC#Trust-Mark-composition; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/trust_marks.html#composizione-dei-trust-mark,OIDC Federation,Conditional IT,,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,SA non presente,not_applicable,
x,AA-Entity Configuration response-BODY-PAYLOAD-trust_mark-policy_uri-type,Trust Mark generated for an AA,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the policy_uri claim is present and its value is an URL, not compliant otherwise",nested JWT parameter type,Correct Input,Entity Configuration response,Does the issued oauth_resource Trust Mark contain a correct policy_uri claim,"In this test, a Trust Mark issued for an AA (oauth_resource profile) must be taken, decrypted and the policy_uri claim in it is checked. Its value has to be an URL",AA,,"Entity Configuration response | body | [^\r\n]* | payload | trust_marks[0].trust_mark | payload |  | {""type"": ""object"", ""properties"": {""policy_uri"": {""type"": ""string"", ""format"": ""uri-reference""}}, ""required"": [""policy_uri""]}","In addition to the claims of the public and private profiles, the profile oauth_resource identifies the AA and adds the policy_uri claim:",SPID_CIE_OIDC#Trust-Mark-composition; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/trust_marks.html#composizione-dei-trust-mark,OIDC Federation,"Conditional FED, IT",AA-Entity Configuration response-BODY-PAYLOAD-trust_mark-policy_uri-presence,Passive,L,Type mismatch,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,SA non presente,not_applicable,
x,AA-Entity Configuration response-BODY-PAYLOAD-trust_mark-policy_uri-specific_type,Trust Mark generated for an AA,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the policy_uri claim is present and its value is an URL, not compliant otherwise",nested JWT parameter type,Correct Input,Entity Configuration response,Does the issued oauth_resource Trust Mark contain a correct policy_uri claim,"In this test, a Trust Mark issued for an AA (oauth_resource profile) must be taken, decrypted and the policy_uri claim in it is checked. Its value has to be an URL",AA,,"Entity Configuration response | body | [^\r\n]* | payload | trust_marks[0].trust_mark | payload |  | {""type"": ""object"", ""properties"": {""policy_uri"": {""type"": ""string"", ""format"": ""uri-reference"", ""pattern"": ""^https://""}}, ""required"": [""policy_uri""]}","In addition to the claims of the public and private profiles, the profile oauth_resource identifies the AA and adds the policy_uri claim:",SPID_CIE_OIDC#Trust-Mark-composition; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/trust_marks.html#composizione-dei-trust-mark,OIDC Federation,"Conditional FED, IT",AA-Entity Configuration response-BODY-PAYLOAD-trust_mark-policy_uri-presence,Passive,L,Type mismatch,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,SA non presente,not_applicable,
x,AA-Entity Configuration response-BODY-PAYLOAD-trust_mark-tos_uri-presence,Trust Mark generated for an AA,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the tos_uri claim is present in the trust_mark payload, not compliant otherwise",nested JWT parameter presence,Correct Input,Entity Configuration response,Does the issued oauth_resource Trust Mark contain the tos_uri claim,"In this test, a Trust Mark issued for an AA (oauth_resource profile) must be taken, decrypted and the presence of the tos_uri claim in it is checked",AA,,Entity Configuration response | body | [^\r\n]* | payload | trust_marks[0].trust_mark | payload | tos_uri,"In addition to the claims of the public and private profiles, the profile oauth_resource identifies the AA and adds the tos_uri claim:",SPID_CIE_OIDC#Trust-Mark-composition; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/trust_marks.html#composizione-dei-trust-mark,OIDC Federation,Conditional IT,,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,SA non presente,not_applicable,
x,AA-Entity Configuration response-BODY-PAYLOAD-trust_mark-tos_uri-type,Trust Mark generated for an AA,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the tos_uri claim is an URL, not compliant otherwise",nested JWT parameter type,Correct Input,Entity Configuration response,Does the issued oauth_resource Trust Mark contain a correct tos_uri claim,"In this test, a Trust Mark issued for an AA (oauth_resource profile) must be taken, decrypted and the tos_uri claim is checked to be an URL",AA,,"Entity Configuration response | body | [^\r\n]* | payload | trust_marks[0].trust_mark | payload |  | {""type"": ""object"", ""properties"": {""tos_uri"": {""type"": ""string"", ""format"": ""uri-reference""}}, ""required"": [""tos_uri""]}","In addition to the claims of the public and private profiles, the profile oauth_resource identifies the AA and adds the tos_uri claim:",SPID_CIE_OIDC#Trust-Mark-composition; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/trust_marks.html#composizione-dei-trust-mark,OIDC Federation,"Conditional FED, IT",AA-Entity Configuration response-BODY-PAYLOAD-trust_mark-tos_uri-presence,Passive,L,Type mismatch,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,SA non presente,not_applicable,
x,AA-Entity Configuration response-BODY-PAYLOAD-trust_mark-tos_uri-specific_type,Trust Mark generated for an AA,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the tos_uri claim is an URL, not compliant otherwise",nested JWT parameter type,Correct Input,Entity Configuration response,Does the issued oauth_resource Trust Mark contain a correct tos_uri claim,"In this test, a Trust Mark issued for an AA (oauth_resource profile) must be taken, decrypted and the tos_uri claim is checked to be an URL",AA,,"Entity Configuration response | body | [^\r\n]* | payload | trust_marks[0].trust_mark | payload |  | {""type"": ""object"", ""properties"": {""tos_uri"": {""type"": ""string"", ""format"": ""uri-reference"", ""pattern"": ""^https://""}}, ""required"": [""tos_uri""]}","In addition to the claims of the public and private profiles, the profile oauth_resource identifies the AA and adds the tos_uri claim:",SPID_CIE_OIDC#Trust-Mark-composition; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/trust_marks.html#composizione-dei-trust-mark,OIDC Federation,"Conditional FED, IT",AA-Entity Configuration response-BODY-PAYLOAD-trust_mark-tos_uri-presence,Passive,L,Type mismatch,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,SA non presente,not_applicable,
x,AA-Entity Configuration response-BODY-PAYLOAD-trust_mark-claims-presence,Trust Mark generated for an AA,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the claims claim is present in the trust_mark payload, not compliant otherwise",nested JWT parameter presence,Correct Input,Entity Configuration response,Does the issued oauth_resource Trust Mark contain the claims claim,"In this test, a Trust Mark issued for an AA (oauth_resource profile) must be taken, decrypted and the presence of the claims claim in it is checked",AA,,Entity Configuration response | body | [^\r\n]* | payload | trust_marks[0].trust_mark | payload | claims,"In addition to the claims of the public and private profiles, the profile oauth_resource identifies the AA and adds the claims claim:",SPID_CIE_OIDC#Trust-Mark-composition; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/trust_marks.html#composizione-dei-trust-mark,OIDC Federation,Conditional IT,,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,SA non presente,not_applicable,
x,AA-Entity Configuration response-BODY-PAYLOAD-trust_mark-claims-type,Trust Mark generated for an AA,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the claims claim is present and its value is a list, not compliant otherwise",nested JWT parameter type,Correct Input,Entity Configuration response,Does the issued oauth_resource Trust Mark contain a correct claims claim,"In this test, a Trust Mark issued for an AA (oauth_resource profile) must be taken, decrypted and the value of the claims claim is checked to be a list",AA,,"Entity Configuration response | body | [^\r\n]* | payload | trust_marks[0].trust_mark | payload |  | {""type"": ""object"", ""properties"": {""claims"": {""type"": ""object"", ""additionalProperties"": {""type"": ""object""}}},""required"": [""claims""]}","In addition to the claims of the public and private profiles, the profile oauth_resource identifies the AA and adds the claims claim and it is a list",SPID_CIE_OIDC#Trust-Mark-composition; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/trust_marks.html#composizione-dei-trust-mark,OIDC Federation,"Conditional FED, IT",AA-Entity Configuration response-BODY-PAYLOAD-trust_mark-claims-presence,Passive,L,Type mismatch,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,SA non presente,not_applicable,
x,AA-Entity Configuration response-BODY-PAYLOAD-trust_mark-service_documentation-presence,Trust Mark generated for an AA,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the service_documentation claim is present in the trust_mark payload, not compliant otherwise",nested JWT parameter presence,Correct Input,Entity Configuration response,Does the issued oauth_resource Trust Mark contain the service_documentation claim,"In this test, a Trust Mark issued for an AA (oauth_resource profile) must be taken, decrypted and the presence of the service_documentation claim in it is checked",AA,,Entity Configuration response | body | [^\r\n]* | payload | trust_marks[0].trust_mark | payload | service_documentation,"In addition to the claims of the public and private profiles, the profile oauth_resource identifies the AA and adds the service_documentation claim:",SPID_CIE_OIDC#Trust-Mark-composition; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/trust_marks.html#composizione-dei-trust-mark,OIDC Federation,Conditional IT,,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,SA non presente,not_applicable,
x,AA-Entity Configuration response-BODY-PAYLOAD-trust_mark-service_documentation-type,Trust Mark generated for an AA,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the service_documentation claim is an URL, not compliant otherwise",nested JWT parameter type,Correct Input,Entity Configuration response,Does the issued oauth_resource Trust Mark contain a correct service_documentation claim,"In this test, a Trust Mark issued for an AA (oauth_resource profile) is taken and the service_documentation claim is checked to be an URL",AA,,"Entity Configuration response | body | [^\r\n]* | payload | trust_marks[0].trust_mark | payload |  | {""type"": ""object"", ""properties"": {""service_documentation"": {""type"": ""string"", ""format"": ""uri-reference""}}, ""required"": [""service_documentation""]}","In addition to the claims of the public and private profiles, the profile oauth_resource identifies the AA and adds the service_documentation claim:",SPID_CIE_OIDC#Trust-Mark-composition; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/trust_marks.html#composizione-dei-trust-mark,OIDC Federation,IT,AA-Entity Configuration response-BODY-PAYLOAD-trust_mark-service_documentation-presence,Passive,L,Type mismatch,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,SA non presente,not_applicable,
x,AA-Entity Configuration response-BODY-PAYLOAD-trust_mark-service_documentation-specific_type,Trust Mark generated for an AA,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the service_documentation claim is an URL, not compliant otherwise",nested JWT parameter type,Correct Input,Entity Configuration response,Does the issued oauth_resource Trust Mark contain a correct service_documentation claim,"In this test, a Trust Mark issued for an AA (oauth_resource profile) is taken and the service_documentation claim is checked to be an URL",AA,,"Entity Configuration response | body | [^\r\n]* | payload | trust_marks[0].trust_mark | payload |  | {""type"": ""object"", ""properties"": {""service_documentation"": {""type"": ""string"", ""format"": ""uri-reference"", ""pattern"": ""^https://""}}, ""required"": [""service_documentation""]}","In addition to the claims of the public and private profiles, the profile oauth_resource identifies the AA and adds the service_documentation claim:",SPID_CIE_OIDC#Trust-Mark-composition; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/trust_marks.html#composizione-dei-trust-mark,OIDC Federation,IT,AA-Entity Configuration response-BODY-PAYLOAD-trust_mark-service_documentation-presence,Passive,L,Type mismatch,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,SA non presente,not_applicable,
x,AA-Entity Configuration response-BODY-PAYLOAD-metadata_aa-value,AA metadata,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the metadata of AA contains at least federation_entity and oauth_resource, not compliant otherwise",JWT parameter type,Correct Input,Entity Configuration response,Does the AA metadata contain at least federation_entity and oauth_resource,In this test the AA metadata in the AA Entity Configuration are taken and the presence of the federation_entity and oauth_resource is checked,AA,,"Entity Configuration response | body | [^\r\n]* | payload | .metadata | {""type"": ""object"",""properties"": {""federation_entity"": {""type"": ""object""},""oauth_resource"": {""type"": ""object""}},""required"": [""federation_entity"",""oauth_resource""]}",The AA Metadata of type 'federation_entity' MUST contain organization_name,SPID_CIE_OIDC#AA-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_aa.html,OIDC Federation,IT,ALL-Entity Configuration response-HEAD-federation_metadata-value,Passive,M,Missing parameter,,,,,,1.3.27,"external tests from spid-oidc-check-op have an implementation issue: in those tests the presence of the claims is directly in the ""Metadata"" parameter of the document. In CIE federation instead, in the metadata paramter there are two subclaims ( ""federation_entity"" and ""openid_relying_party"") and the claims that the tests checks are in the ""federation_entity"" subclaim. (For details see coverage.md)",TRUE,,,yes,s1,E,Messaggio non presente,N_A,AA non presente,not_applicable,
x,AA-Entity Configuration response-BODY-PAYLOAD-metadata-federation_trust_mark_status_endpoint-presence,AA metadata,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the federation_trust_mark_status_endpoint claim is present, not compliant otherwise",JWT parameter JSON presence,Correct Input,Entity Configuration response,Does the AA metadata contain the federation_trust_mark_status_endpoint claim,In this test the AA metadata in the AA Entity Configuration are taken and the presence of the federation_trust_mark_status_endpoint claim in the 'federation_entity' entity type is checked.,AA,,Entity Configuration response | body | [^\r\n]* | payload | metadata.federation_entity.federation_trust_mark_status_endpoint,The AA Metadata of type 'federation_entity' MUST contain federation_trust_mark_status_endpoint,SPID_CIE_OIDC#AA-Metadata; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/metadata_aa.html,OIDC Federation,IT,ALL-Entity Configuration response-BODY-PAYLOAD-metadata_specific-value,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,AA non presente,not_applicable,
